#	B_name			P0					P1				Age	Bsurf	Edot		Dpi		Cpi
98    B1620-26    lbb+88     0.0110775091420025      18  tacl99     6.7093E-19           4  tacl99     2.62e+08 2.66e+09 1.81e+34 	00.32319886	00.01809509	00.16353416
99    B1620-42    mlt+78     0.3645903553             4  nmc81      1.022E-15           14  nmc81      5.65e+06 *        *        	00.15883780	00.14395855	00.00917889
100   B1629-50    jlm+92     0.352142380018           3  jml+95     3.7877E-15           2  jml+95     1.47e+06 *        *        	00.31114112	00.11609450	00.08383130
101   B1633+24    skk+80     0.4905065128003         17  hlk+04     1.19317E-16         10  hlk+04     6.51e+07 *        *        	00.14653376	00.03185705	00.03458306
102   B1648-17    mlt+78     0.973393691872           5  hlk+04     3.03710E-15          5  hlk+04     5.08e+06 *        *        	00.34227355	00.05609385	00.12472462
103   B1649-23    mlt+78     1.703739137858           5  hlk+04     3.15876E-15          4  hlk+04     8.55e+06 *        *        	00.32787871	00.05225516	00.06569219
104   B1657-45    jlm+92     0.322908566781           3  jml+95     5.193E-16            2  jml+95     9.85e+06 *        *        	00.48122906	00.03952689	00.18773568
105   B1700-18    vl72       0.8043410792712         12  hlk+04     1.731000E-15        10  hlk+04     7.36e+06 *        *        	00.26114859	00.04467408	00.06957139
106   B1702-19    mlt+78     0.2989874273426         17  hlk+04     4.137877E-15        10  hlk+04     1.14e+06 *        *        	00.13491952	00.00570596	00.01048045
107   B1703-40    jlm+92     0.581016707860          18  wmz+01     1.925E-15            4  wmz+01     4.78e+06 *        *        	00.86337744	00.02500509	00.16441328
108   B1706-16    lvw69b     0.65303397126            4  hlk+04     6.30985E-15         13  hlk+04     1.64e+06 2.05e+12 8.94e+32 	00.11734015	00.06450480	00.11325026
109   B1706-44    jlm+92     0.102459245929           8  wmp+00     9.298454E-14        13  wmp+00     1.75e+04 *        *        	00.25060586	00.01725880	00.02955272
110   B1709-15    dtws85     0.868804249026           4  hlk+04     1.10246E-15          3  hlk+04     1.25e+07 *        *        	00.12205437	00.01806994	00.09306839
111   J1713+0747  fwc93      0.045701365250882782     7  sns+05     8.5289E-21           5  sns+05     8.49e+09 1.94e+08 3.34e+33 	00.21279756	00.14279584	00.15200555
112   B1714-34    jlm+92     0.65629923146            7  hlk+04     9.8036E-15           5  hlk+04     1.06e+06 *        *        	00.12456922	00.02962279	00.02021757
113   B1718-02    mlt+78     0.477715343692           3  hlk+04     8.2798E-17          19  hlk+04     9.14e+07 1.96e+11 2.84e+31 	00.11786978	00.03754097	00.05628880
114   B1717-16    stwd85     1.56561114802            3  hlk+04     5.7980E-15           3  hlk+04     4.28e+06 *        *        	00.79404402	00.10386514	00.25899285
115   B1717-29    dls72      0.6204483653468         16  hlk+04     7.45999E-16         16  hlk+04     1.32e+07 *        *        	00.19855501	00.01449350	00.04246353
116   B1718-19    lbhb93     1.00407745670           19  hlk+04     1.6240E-15          16  hlk+04     9.8e+06  *        *        	00.55248224	00.02158082	00.06313057
117   B1718-32    dls72      0.477157518356           4  hlk+04     6.4626E-16           3  hlk+04     1.17e+07 5.59e+11 2.33e+32 	00.21046365	00.04386517	00.12859949
118   B1726-00    stwd85     0.3860037238349         15  hlk+04     1.122656E-15        14  hlk+04     5.45e+06 *        *        	00.21121108	00.23981681	00.13677291
119   B1727-33    jlm+92     0.139460211250          18  hlk+04     8.482941E-14        18  hlk+04     2.6e+04  *        *        	00.26491805	00.01542618	00.03361752
120   B1730-22    dls73      0.871682832986           3  hlk+04     4.2703E-17          10  hlk+04     3.23e+08 *        *        	00.32218355	00.10141107	00.13073274
121   B1732-02    dtws85     0.839394324968           9  hlk+04     4.2100E-16           8  hlk+04     3.16e+07 *        *        	00.17801086	00.02238627	00.08823648
122   B1732-07    ll76       0.4193349661853         11  hlk+04     1.214735E-15         9  hlk+04     5.47e+06 7.21e+11 6.49e+32 	00.04190623	00.05663767	00.00660724
123   B1734-35    jlm+92     0.397584746441           3  jml+95     6.1214E-15           2  jml+95     1.03e+06 *        *        	00.08893187	00.01538906	00.04179165
124   B1735-32    cjlm87     0.768498945480           3  hlk+04     7.94911E-16         18  hlk+04     1.53e+07 *        *        	00.43838728	00.01151076	00.04579088
125   B1736-29    cl86       0.322882431774           9  hlk+04     7.87980E-15          7  hlk+04     6.49e+05 *        *        	00.80616720	00.00221913	00.38657291
126   B1736-31    cl86       0.52940098843           15  hlk+04     1.85836E-14         15  hlk+04     4.51e+05 *        *        	00.38768421	00.03395841	00.02521330
127   B1737+13    mlt+78     0.803050264794           4  hlk+04     1.451320E-15        12  hlk+04     8.77e+06 1.09e+12 1.10e+32 	00.20039937	00.04059363	00.11302125
128   B1737-30    cl86       0.60686662425            4  ywml10     4.66124E-13         12  ywml10     2.06e+04 *        *        	00.27041493	00.10755952	00.04363101
129   B1738-08    mlt+78     2.043082458401           6  hlk+04     2.27471E-15          5  hlk+04     1.42e+07 *        *        	00.50988233	00.00331909	00.03954515
130   B1740-03    mlt+78     0.44465510677           10  hlk+04     1.5562E-15           8  hlk+04     4.53e+06 *        *        	00.24045347	00.03558694	00.05712275
131   B1740-13    stwd85     0.405336948592          10  hlk+04     4.7752E-16           9  hlk+04     1.34e+07 *        *        	00.10257241	00.02201876	00.13575063
132   B1742-30    kac+73     0.367428753855           5  hlk+04     1.066784E-14         3  hlk+04     5.46e+05 2.00e+12 8.49e+33 	00.06847127	00.00097669	00.06774265
133   B1745-12    mlt+78     0.3941333466126         14  hlk+04     1.212692E-15        11  hlk+04     5.15e+06 *        *        	00.06091546	00.12178085	00.01776874
134   B1744-24A   lmd+90     0.01156314838986         3  lmbm00     -3.40E-20            4  lmbm00     *        *        *        	00.30025390	00.03525731	00.16550578
135   B1749-28    tv68       0.56257763553            3  hlk+04     8.12913E-15         10  hlk+04     1.1e+06  2.16e+12 1.80e+33 	00.37510681	00.02978352	00.13651712
136   B1750-24    cl86       0.52836640936            3  hlk+04     1.411502E-14        17  hlk+04     5.93e+05 *        *        	00.24054770	00.01140094	00.03483574
137   B1753+52    dtws85     2.39136679486            3  hlk+04     1.5641E-15           3  hlk+04     2.42e+07 *        *        	00.23569703	00.01376039	00.04303787
